,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,3M momentum,Total Score
미창석유공업,00122056,003650,0.32800717498635595,89.38461538461539,2.511780709193032,97.84615384615384,0.2924400802284016,79.6923076923077,2.3211973099183356,99.23076923076923,2.212266511196474,91.07692307692308,0.0316055625790139,84.53846153846155,7.91,-0.13,667.0513228646411
아세아,00138701,002030,0.22032957142789467,95.07692307692308,4.674728724790313,91.3076923076923,0.2061893822154175,85.84615384615384,6.658125388755257,89.92307692307692,1.3070487887114093,97.0,0.04195359670023506,89.61538461538463,51.8,30.8,663.4513729010761
한일홀딩스,00162993,003300,0.18040213988880108,97.46153846153847,3.8001751985961105,94.23076923076923,0.16778788580548576,89.23076923076923,6.051282684565628,91.6923076923077,1.4599110459586009,95.84615384615384,0,26.03846153846154,13.7,1.66,661.2580257687781
크라운해태홀딩스,00153126,005740,0.1615565504884521,98.07692307692308,4.224520836868878,93.38461538461539,0.08486240961965112,96.46153846153847,13.036619434905333,75.61538461538461,1.0995836064727946,98.23076923076923,0.059878629281529296,94.61538461538463,8.14,-0.49,661.2399782802457
매일유업,01234507,267980,0.5437666140144444,71.07692307692308,5.338864115215524,88.61538461538461,0.16471337698777724,89.61538461538461,7.718050436546827,88.07692307692308,1.942902033066368,93.15384615384616,0.02939569357086796,82.92307692307693,-8.4,-0.61,654.8759214466376
KPX케미칼,00191472,025000,0.33095264148110465,89.0,3.2983273932795147,95.92307692307692,0.23485932775915253,83.53846153846153,3.6160137731505095,97.46153846153847,2.3754065337348114,89.92307692307692,0,26.03846153846154,5.26,-0.55,653.8737195991358
한국컴퓨터,00303396,054040,0.6647904695870172,63.61538461538461,4.359097094034534,92.84615384615384,0.2543944696114226,81.6923076923077,3.4845248706647234,97.61538461538461,3.379150292372611,84.3076923076923,0.039438197612638996,88.23076923076924,9.67,19.68,651.4689189064914
오리온홀딩스,00117577,001800,0.20637967263892942,96.15384615384616,10.41204881774637,74.6923076923077,0.30182128319127777,78.84615384615384,3.055850972964581,98.3076923076923,1.9732570102352185,93.0,0.07361080633040348,96.92307692307693,-5.61,-1.85,647.7649152610462
동양이엔피,00178790,079960,0.47608063464452893,76.38461538461539,3.307106084823991,95.76923076923077,0.289270814058737,80.0,4.637394694922349,95.07692307692308,2.0234526530221055,92.76923076923077,0,26.03846153846154,3.84,1.33,640.1586910329784
SK디스커버리,00131832,006120,0.14179149470159605,98.61538461538461,4.505011208684768,92.15384615384616,0.09627395056704577,95.3076923076923,17.165481319815076,68.15384615384616,1.4328140315729418,96.15384615384616,0.08245411789514007,97.6923076923077,14.94,0.22,638.2006604669109
삼양사,00896285,145990,0.2866747840816882,91.15384615384616,4.592286247592317,91.6923076923077,0.18511242528276906,87.76923076923077,12.076668637289151,78.23076923076923,1.864136971948732,93.61538461538461,0.03800326804024248,87.6923076923077,17.93,1.33,635.8606088147238
한양이엔지,00216762,045100,0.6526928198432307,64.46153846153845,4.4988751440814205,92.3076923076923,0.33919269388449796,75.53846153846153,4.596321290394542,95.15384615384616,2.341546741344009,90.38461538461539,0.029506316191338602,83.0,38.01,22.98,635.8174618353654
CS홀딩스,00149026,000590,0.2044347489158583,96.3076923076923,4.280986827160997,93.23076923076923,0.4127645435581977,69.61538461538461,0.8874401445464786,99.84615384615384,2.513128978025246,89.38461538461539,0.01714219815103146,72.53846153846155,11.69,-0.6,635.6134850218485
성우하이텍,00132992,015750,0.46491947007278367,77.61538461538461,4.500103041711356,92.23076923076923,0.17693703717087478,88.38461538461539,13.075914251106385,75.53846153846153,2.03694739516595,92.6923076923077,0.010460251046025104,65.07692307692308,15.32,1.16,621.8754385765648
두올,00119672,016740,0.5232911381484605,72.92307692307692,5.412729175138088,88.38461538461539,0.14979390743292506,90.92307692307692,9.115517825256955,84.38461538461539,6.745328956546295,69.3076923076923,0.02302511288123691,78.15384615384616,15.24,-1.72,620.8203110788527
