,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,Total Score
DN오토모티브,00116949,007340,0.5704751916577254,75.18443997317237,3.491081704040047,95.10395707578806,0.20450590068439747,87.05566733735748,14.185686553374572,71.89805499664655,4.220252180604254,85.24480214621059,0.020700866446726512,79.20858484238767,30.72,607.361754947088
한솔테크닉스,00157399,004710,0.4869424629376291,80.88531187122736,6.5671421005299955,85.91549295774648,0.13006467900990626,93.2260228034876,20.744329575361014,62.17303822937625,3.2264978590566233,90.81153588195842,0,26.693494299128105,29.9,584.8764845478355
콤텍시스템,00186559,031820,0.5026622561841291,79.5439302481556,2.99633241859988,95.84171696847753,0.14154132563066718,92.42119382964454,7.9336736337376506,87.99463447350772,2.4059089589249214,93.56136820925553,0,26.693494299128105,28.48,655.8944611855476
동양이엔피,00178790,079960,0.46314637701912703,82.76324614352784,5.621861229273788,88.73239436619718,0.23054411452108867,84.90945674044265,6.657024725425988,91.34808853118712,3.4411411536987973,89.80549966465459,0,26.693494299128105,28.28,634.8792379969103
케이씨,00209780,029460,0.30393591987942603,92.6224010731053,2.4147495484325514,97.31723675385648,0.28012667233705146,80.54996646545942,2.9619444644479365,98.72568745808182,2.2244802247302484,94.43326626425218,0.017627908194972976,76.59289067739772,28.25,669.9217368259326
하림지주,00148364,003380,0.1685115344160338,97.98792756539235,3.4943678428931446,95.03688799463447,0.06189082808916756,98.39034205231388,12.663954686949959,75.45271629778672,0.6848919999530901,99.12810194500335,0.05143297861471513,94.43326626425218,27.12,668.1381902606296
아세아,00138701,002030,0.14392924157055578,98.72568745808182,1.6414769893302457,98.65861837692823,0.12951593573864187,93.36016096579476,6.528316109730678,91.81757209926224,1.291326480871408,97.85378940308517,0.05491542923803433,95.17102615694165,27.03,696.5216693222486
서진오토모티브,00800145,122690,0.3961758872621141,87.59221998658619,3.5894981476468555,94.70154258886653,0.04021274580596528,99.32930918846412,26.177648017336235,56.874580818242784,0.9275236492161271,98.52448021462106,0.014018765351976326,71.49564050972502,26.57,617.6724768096396
TP,00154329,007980,0.3549419633053897,89.87256874580818,2.851489173222728,96.44533869885983,0.06589833740706831,98.05499664654594,17.658144966096245,66.39839034205231,1.2643921558772753,97.98792756539235,0,26.693494299128105,26.34,626.7189467322863
제이엠티,00533508,094970,0.6610547201167966,70.35546613011402,2.3262836051273794,97.65258215962442,0.7553677096905993,54.66130114017437,4.493602493713913,95.77464788732394,3.1205418474551063,91.14688128772636,0.03663003663003663,88.93360160965796,24.28,594.4766920150391
한국큐빅,00160010,021650,0.6307935889062163,71.22736418511066,7.71553052084569,83.29979879275653,0.2398252841494941,84.10462776659959,13.606047346249902,73.57478202548626,5.362542663950847,80.21462105969148,0.02258064516129032,80.95238095238096,23.75,586.7646859788199
